MonthYear,Ticker,Daily_Return
Nov-2023,BAJFINANCE,-3.2804310790769535
Nov-2023,BEL,3.6961370667154347
Nov-2023,BHARTIARTL,6.899281089627182
Nov-2023,BPCL,14.187040375499343
Nov-2023,BRITANNIA,5.12387510608398
Nov-2023,CIPLA,-4.228714465257735
Nov-2023,COALINDIA,0.24080031563601956
Nov-2023,DRREDDY,2.054509505376375
Nov-2023,EICHERMOT,11.372716194397963
Nov-2023,GRASIM,0.24257118956443116
Nov-2023,HCLTECH,-2.2355465448110117
Nov-2023,HDFCBANK,2.342877618129119
Nov-2023,HDFCLIFE,5.695444818896874
Nov-2023,HEROMOTOCO,10.879558734369162
Nov-2023,HINDALCO,3.2471447452652233
Nov-2023,HINDUNILVR,2.5135300167817256
Nov-2023,ICICIBANK,0.19249976384030754
Nov-2023,INDUSINDBK,-5.326088609861045
Nov-2023,INFY,0.14028350665763753
Nov-2023,ITC,-1.7739330528577215
Nov-2023,JSWSTEEL,2.5262708675224643
Nov-2023,KOTAKBANK,0.7493111056302464
Nov-2023,LT,2.213595592171624
Nov-2023,M&M,5.707818315399354
Nov-2023,MARUTI,-2.839958589249597
Nov-2023,NESTLEIND,-3.5919598402982835
Nov-2023,NTPC,3.3822605555463245
Nov-2023,ONGC,0.36285509239573566
Nov-2023,POWERGRID,-1.7698405563252018
Nov-2023,RELIANCE,1.2434130335068554
Nov-2023,SBILIFE,1.0572912211455257
Nov-2023,SBIN,-6.057032092668238
Nov-2023,SHRIRAMFIN,4.834892561212726
Nov-2023,SUNPHARMA,9.456488465711578
Nov-2023,TATACONSUM,2.050029144509567
Nov-2023,TATAMOTORS,-0.2104973533117489
Nov-2023,TATASTEEL,4.265340055192603
Nov-2023,TCS,0.6282948042268441
Nov-2023,TECHM,3.1350708685768987
Nov-2023,TITAN,2.6300893700034518
Nov-2023,TRENT,18.036668734294466
Nov-2023,ULTRACEMCO,3.187305551143927
Nov-2023,WIPRO,1.3366980072110763
Nov-2024,ADANIENT,-12.494083673401366
Nov-2024,ADANIPORTS,-5.086898721415661
Nov-2024,APOLLOHOSP,-5.1074232979717
Nov-2024,ASIANPAINT,-10.930993608510216
Nov-2024,AXISBANK,-0.03339598293549728
Nov-2024,BAJAJ-AUTO,-3.585707738563683
Nov-2024,BAJAJFINSV,-9.423298861597958
Nov-2024,BAJFINANCE,-6.406350654982076
Nov-2024,BEL,-2.2733134489814066
Nov-2024,BHARTIARTL,-5.27587628176324
Nov-2024,BPCL,-9.036356287590625
